AA,State
AN,Andaman & Nicobar
AR,Arunachal Pradesh
AP,Andhra Pradesh
AS,Assam
BH,Bihar
CH,Chandigarh
CG,Chhattisgarh
GO,GOA
GU,Gujarat
HA,Haryana
HP,Himachal Pradesh
JM,Jammu & Kashmir
JK,Jharkhand
KA,Karnataka
KE,Kerala
MP,Madhya Pradesh
MA,Maharashtra
MN,Manipur
ME,Meghalaya
MI,Mizoram
NA,Nagaland
ND,New Delhi
OR,Orissa
PO,Pondicherry
PU,Punjab
RA,Rajasthan
SI,Sikkim
TG,Telengana
TN,Tamil Nadu
TR,Tripura
UP,Uttar Pradesh
UC,Uttaranchal
WB,West Bengal
DN,Dadra and Nagar Haveli
DD,Daman and Diu
LD,Lakshadweep
OH,Others
